date,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60,,, ,,,,,,,circulating_market_cap(าฺิช),turn_over(v/c),turn_over(m/cmc),recog,Unnamed: 13,Unnamed: 14,turn_over(v/cc)
2015/9/25,-0.017077005,2185.077,2259.071,2150.018,2183.404,17476669000,0.990509237,-4.71E-05,1.91E+11,150812681,2196.2748,2353.5851,2676.909,2368.1316,,,,,,,,,,,,,,,,
2015/9/30,0.034096914,2169.152,2175.97,2114.301,2146.118,7077810300,0.988727589,-0.00051232,73251202769,150812681,2193.5068,2294.0925,2631.19435,2377.305867,,,,,,,,,,,,,,,,
2015/10/9,0.047078485,2231.025,2231.242,2189.988,2219.294,7239085200,0.990405597,0.000342855,80213145984,150992340,2188.6394,2269.8979,2579.7163,2387.427367,,,,,,,,,,,,,,,,
2015/10/16,0.008688449,2223.325,2328.304,2220.632,2323.775,24833120900,1.069009575,0.000504573,2.71E+11,151365409,2214.3162,2251.8958,2540.33835,2399.587233,,,,,,,,,,,,,,,,
2015/10/23,-0.013221614,2329.396,2369.371,2268.823,2343.965,30110259700,0.963783818,0.000282399,3.30E+11,151365409,2243.3112,2228.5885,2492.3372,2412.298583,,,,,,,,,,,,,,,,
2015/10/30,0.078042382,2366.838,2381.713,2298.974,2312.974,20681172500,0.877098806,-3.40E-05,2.45E+11,151365409,2269.2252,2232.75,2440.4735,2423.2442,,,,,,,,,,,,,,,,
2015/11/6,-0.018332181,2291.252,2503.65,2265.673,2493.484,37336094100,0.833621283,0.000258598,4.49E+11,151359015,2338.6984,2266.1026,2419.99485,2437.6322,,,,,,,,,,,,,,,,
2015/11/13,0.007755621,2501.725,2592.194,2444.203,2447.773,40447445500,0.813787927,0.000219333,4.96E+11,152222597,2384.3942,2286.5168,2405.54875,2451.4354,,,,,,,,,,,,,,,,
2015/11/20,-0.053640063,2410.039,2514.463,2407.943,2466.757,26051010500,0.709233822,-6.26E-05,3.19E+11,152222597,2412.9906,2313.6534,2399.7733,2465.613217,,,,,,,,,,,,,,,,
2015/11/27,0.027039461,2465.811,2485.415,2320.066,2334.44,22853586600,0.658034239,-0.000308397,2.75E+11,152222597,2411.0856,2327.1984,2371.5748,2477.5256,,,,,,,,,,,,,,,,
