 ,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60
2009/9/4,0.053402649,2163.013,2262.542,2033.44,2237.492,16717672200,1.074725322,-0.000123278,1.96E+11,37511917,2379.3176,2508.821,2290.9715,1907.1155
2009/9/11,-0.025736748,2254.752,2364.749,2211.435,2356.98,15445226800,1.071188713,0.000180991,1.87E+11,37512377,2323.816,2493.6908,2315.7831,1911.777933
2009/9/18,-0.030621181,2361.991,2405.599,2279.079,2296.319,16476686300,1.055792999,5.99E-05,2.01E+11,37512378,2290.3752,2471.4152,2335.81405,1912.625517
2009/9/25,-0.012397108,2271.084,2307.727,2166.235,2226.003,12603430400,1.040598518,-0.000165396,1.51E+11,37512378,2262.0624,2433.5801,2345.96655,1913.747233
2009/9/30,0.050161321,2230.924,2242.334,2144.603,2198.407,5601176300,1.008709971,-0.000285561,64046122353,37512379,2263.0402,2379.1183,2354.77185,1912.625967
2009/10/9,0.021781259,2251.817,2309.719,2246.279,2308.682,2430082200,1.010446442,0.000573354,29862083220,37512379,2277.2782,2328.2979,2371.8229,1914.342583
2009/10/16,0.051960857,2322.769,2402.35,2285.896,2358.968,11958971400,0.989546936,0.000263958,1.48E+11,43221159,2277.6758,2300.7459,2390.20705,1919.376783
2009/10/23,-0.042517918,2354.296,2498.613,2344.395,2481.542,15087877800,0.989704268,0.000214486,1.92E+11,43221159,2314.7204,2302.5478,2406.26335,1928.111267
2009/10/30,0.0573999,2488.605,2499.158,2341.919,2376.032,11992323100,0.989016194,4.07E-05,1.53E+11,67422398,2344.7262,2303.3943,2417.23825,1935.24405
2009/11/6,0.004606323,2319.701,2536.555,2313.786,2512.416,14900293100,0.98235704,5.63E-05,1.81E+11,67422398,2407.528,2335.2841,2427.39785,1944.193433
2009/11/13,0.023384809,2515.837,2549.639,2471.881,2523.989,15011995900,0.949795447,0.000279672,1.83E+11,67422403,2450.5894,2363.9338,2436.3774,1956.310567
2009/11/20,-0.075133217,2540.489,2627.925,2540.489,2583.012,18764433300,0.906435034,0.000101005,2.31E+11,67451086.7,2495.3982,2386.537,2440.1139,1970.828117
2009/11/27,0.082967272,2586.834,2615.246,2379.948,2388.942,21552635500,0.90249769,-0.00016745,2.78E+11,67451086.7,2476.8782,2395.7993,2433.60725,1983.134867
2009/12/4,-0.030902779,2411.91,2588.995,2405.597,2587.146,21365034400,0.843029299,5.05E-06,2.70E+11,67451086.7,2519.101,2431.9136,2432.74685,1996.064983
2009/12/11,-0.032909673,2587.07,2606.711,2486.69,2507.196,14691725300,0.728240248,0.000228365,1.94E+11,67778589.7,2518.057,2462.7925,2420.9554,2012.382667
2009/12/18,-0.007459938,2502.42,2569.059,2414.173,2424.685,15297638900,0.703586824,-0.000278716,1.89E+11,67898289.7,2498.1962,2474.3928,2401.34535,2028.124717
2009/12/25,0.061166452,2417.992,2435.184,2342.754,2406.597,11735335600,0.735152863,-0.000232149,1.52E+11,67897910.7,2462.9132,2479.1557,2389.9508,2044.7659
2009/12/31,-0.03431553,2412.668,2563.967,2412.668,2553.8,12887009800,0.770776946,0.000280558,1.69E+11,67897411,2495.8848,2486.3815,2394.46465,2065.200817
2010/1/8,-0.015553704,2565.108,2570.152,2432.013,2466.165,14707762700,0.850843992,0.000114266,2.08E+11,67897803,2471.6886,2495.3948,2399.39455,2083.579267
2010/1/15,-0.019668779,2584.528,2584.528,2384.165,2427.807,18500533600,0.85039795,-0.000186217,2.51E+11,69830156,2455.8108,2486.9339,2411.109,2098.201633
2010/1/22,-0.057167166,2414.893,2450.281,2317.481,2380.055,16334932400,0.843209663,-0.000149265,2.12E+11,69830156,2446.8848,2472.5405,2418.23715,2112.851
2010/1/29,-0.010870796,2355.357,2389.627,2231.649,2243.994,10537996700,0.811864947,-0.000501703,1.32E+11,69830091,2414.3642,2438.6387,2412.58785,2126.731483
2010/2/5,0.029188142,2238.617,2278.475,2182.952,2219.6,10219785200,0.786097231,-0.000461319,1.31E+11,69932091,2347.5242,2421.7045,2408.7519,2138.083683
2010/2/12,-0.004404247,2220.842,2286.676,2201.802,2284.386,6019506600,0.811439163,0.000209117,77695890921,69932091,2311.1684,2391.4285,2411.67105,2151.168583
2010/2/26,-0.002807866,2282.09,2291.783,2202.214,2274.325,8524094400,0.860783921,0.000202453,1.15E+11,69994207,2280.472,2368.1414,2415.46695,2163.1721
2010/3/5,0.002907045,2282.338,2320.312,2258.962,2267.939,8333911200,0.89302748,-6.05E-05,1.08E+11,70080198,2258.0488,2352.4668,2413.4298,2177.3572
2010/3/12,0.015833587,2272.607,2318.312,2265.195,2274.532,7995924900,0.92000122,7.98E-07,1.04E+11,70080198,2264.1564,2339.2603,2409.208,2192.184167
2010/3/19,-0.007735401,2274.714,2318.05,2232.953,2310.546,7388861700,0.992631849,0.000178947,99950578755,70380632,2282.3456,2314.9349,2400.6582,2206.574217
2010/3/26,0.037738046,2314.442,2330.671,2253.609,2292.673,8780389300,1.061554786,6.39E-05,1.06E+11,70380632,2284.003,2297.5857,2396.49025,2219.752033
2010/4/2,-0.01405518,2309.916,2386.14,2306.283,2379.194,12402787500,1.182310903,0.000168596,1.56E+11,70380632,2304.9768,2292.7244,2389.82915,2233.767383
2010/4/9,-0.00709111,2391.253,2403.816,2316.708,2345.754,7606950100,1.170188027,0.00021421,1.01E+11,70380632,2320.5398,2289.2943,2380.9174,2244.71325
2010/4/16,-0.061810899,2350.116,2374.558,2301.646,2329.12,11352019700,1.136298813,-0.000130486,1.55E+11,70380632,2331.4574,2297.8069,2368.2228,2254.272433
2010/4/23,-0.016338429,2296.882,2296.882,2169.47,2185.155,13412026200,1.108416553,-0.000359268,1.65E+11,70380632,2306.3792,2294.3624,2358.03345,2262.437433
2010/4/30,-0.078757247,2190.095,2197.591,2103.416,2149.453,9849739900,1.056125161,-0.000551943,1.15E+11,70476273,2277.7352,2280.8691,2336.1488,2271.72815
2010/5/7,0.019979113,2103.673,2130.757,1956.829,1980.168,8860574400,0.899718282,-0.000746178,1.06E+11,70479045,2197.93,2251.4534,2309.7974,2276.78445
2010/5/14,-0.037777822,1987.1,2051.272,1943.515,2019.73,10741859100,0.893852364,-0.000395977,1.26E+11,70479045,2132.7252,2226.6325,2289.54965,2283.346317
2010/5/21,0.015535942,1994.469,1994.469,1874.318,1943.429,9856089800,0.879159454,-0.000134615,1.05E+11,71511140,2055.587,2193.5222,2266.39125,2286.966617
2010/5/28,-0.040115078,1955.069,2017.324,1927.671,1973.622,10179132000,0.869001189,-0.000160533,1.08E+11,71579957,2013.2804,2159.8298,2237.38235,2289.433133
2010/6/4,-0.00594051,1961.699,1975.587,1876.197,1894.45,8016967500,0.876003189,-0.000225366,78792178802,71689668,1962.2798,2120.0075,2208.7966,2289.46185
2010/6/11,-0.006544725,1863.674,1914.076,1829.442,1883.196,8141327300,0.89876441,-0.000405966,83875852845,72136526,1942.8854,2070.4077,2181.56605,2289.262467
2010/6/18,0.024073814,1897.62,1901.571,1865.328,1870.871,2479644100,0.925001507,-0.000362083,25904895565,72136526,1913.1136,2022.9194,2156.10685,2288.4385
2010/6/25,-0.053932596,1880.127,1938.74,1873.694,1915.91,7294348700,0.938292274,0.0001738,77233822705,72978931,1907.6098,1981.5984,2139.70265,2289.357867
2010/7/2,0.031845767,1915.296,1931.51,1771.491,1812.58,7618043900,0.909175747,-0.000298296,68679126865,72934653,1875.4014,1944.3409,2119.35165,2287.972533
2010/7/9,-0.016619767,1795.477,1883.432,1776.38,1870.303,7246077900,0.918844875,-0.0002396,67510199168,72934653,1870.572,1916.4259,2098.6475,2285.428367
2010/7/16,0.057759299,1868.421,1897.632,1818.176,1839.219,8002411700,0.938352541,0.000136596,80934763308,74377179,1861.7766,1902.331,2076.8922,2282.377
2010/7/23,0.021233637,1822.443,1956.417,1818.515,1945.451,11014996900,0.928561746,0.000271308,1.07E+11,74377579,1876.6926,1894.9031,2060.7678,2282.006833
2010/7/30,-0.003791097,1948.629,2002.112,1929.796,1986.76,12394746100,0.931806558,0.000481375,1.14E+11,74377579,1890.8626,1899.2362,2046.3792,2281.931417
2010/8/6,-0.024533303,1984.124,2022.545,1934.57,1979.228,12775734100,0.930338722,0.000101078,1.14E+11,74377579,1924.1922,1899.7968,2029.8133,2278.911617
2010/8/13,0.018848369,1974.968,1992.433,1902.625,1930.671,11897327800,0.917158979,-0.000176492,1.03E+11,74377579,1936.2658,1903.4189,2011.7132,2275.147233
2010/8/20,-0.025154278,1926.391,2005.296,1920.458,1967.061,13285895000,0.917328946,-3.47E-05,1.30E+11,74952579,1961.8342,1911.8054,1991.10655,2269.444517
2010/8/27,0.006051896,1963.312,1982.467,1903.912,1917.581,8385058300,0.78904448,-6.06E-05,78681254475,74952579,1956.2602,1916.4764,1969.6979,2262.3309
2010/9/3,-0.007019023,1926.115,1949.933,1905.726,1929.186,11239740900,0.603014793,-0.0001284,1.14E+11,74952579,1944.7454,1917.804,1949.7012,2252.6793
2010/9/10,-0.030451884,1938.539,1983.507,1897.954,1915.645,12687027900,0.516286422,-5.96E-06,1.32E+11,74952579,1932.0288,1928.1105,1936.2257,2242.622133
2010/9/17,0.003824887,1914.379,1939.818,1845.073,1857.31,11050179900,0.460571366,-0.000252713,1.08E+11,74952579,1917.3566,1926.8112,1921.61855,2230.1714
