,0,600000.XSHG,600016.XSHG,600019.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600111.XSHG,600276.XSHG,600309.XSHG,600340.XSHG,600519.XSHG,600547.XSHG,600585.XSHG,600606.XSHG,600690.XSHG,600703.XSHG,600887.XSHG,600958.XSHG,600999.XSHG,601006.XSHG,601088.XSHG,601166.XSHG,601169.XSHG,601186.XSHG,601211.XSHG,601229.XSHG,601288.XSHG,601318.XSHG,601328.XSHG,601336.XSHG,601360.XSHG,601390.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601668.XSHG,601688.XSHG,601766.XSHG,601800.XSHG,601818.XSHG,601857.XSHG,601878.XSHG,601881.XSHG,601988.XSHG,601989.XSHG,603993.XSHG,
2007/4/30,2007/4/30,133226,611363,379714,358400,100000,171457,470979,30000,810792,148075,19219,16224,58816,7928,26993,7755,26278,18828,74233,5859,43419,,,212123,,45075,,,,,,57500,,,,,918078,,90000,,,,,,,,,520779,,,5363113
2007/5/11,2007/5/11,133226,611363,379714,358400,100000,171457,470979,30000,810792,148075,19219,16224,58816,7928,26993,7755,26278,18828,74233,5859,43419,,,212123,,70100,,,,,,57500,,,,,918078,,90000,,,,,,,,,520779,,,5388138
2007/5/18,2007/5/18,326061,611363,379714,358400,100000,171457,470979,30000,810792,148075,19219,16224,58816,7928,26993,7755,26278,21653,75564,5859,43419,,,212123,,70100,,,,,,57500,159517,,,,918078,,90000,,,,,,,,,520779,,,5744646
2007/5/25,2007/5/25,326061,611363,379714,358400,100000,171457,470979,30000,811020,148075,19219,16224,58816,7928,40793,7755,26278,21653,75569,5859,43419,,,212123,,70100,,,,,,57500,159517,,,,918078,,90000,,,,,,,,,520779,,,5758679
2007/6/1,2007/6/1,326061,611370,379714,358400,100000,171457,470979,30000,811020,148075,19219,16224,58816,7928,40793,7755,26278,21653,75569,5859,44361,,,212123,,70100,,,,,,80500,159517,,,,918078,,90000,,,,,,,,,520779,,,5782628
2007/6/8,2007/6/8,326061,611370,379714,358400,100000,171457,470979,30000,811020,148075,20642,16224,58816,7928,40793,7755,26278,21653,75569,5859,45561,,,212123,,70100,,,,,,80500,159517,,,,918078,,90000,,,,,,,,,520779,,,5785251
2007/6/15,2007/6/15,326061,731651,379714,358400,100000,171457,470979,30000,811020,148075,20642,16224,58816,9381,40793,7755,26278,21653,75569,5859,45561,,,212123,,70100,,,,,,80500,159517,,,,918078,,90000,,,,,,,,,520779,,,5906985
2007/6/22,2007/6/22,326061,731652,379714,358400,100000,171457,470979,30000,811020,148075,20642,24976,58816,9381,40793,7755,26278,21653,75569,5859,45561,,,212123,,70100,,,,,,80500,159517,,,,918078,,90000,,,,,,,,,520779,,,5915738
2007/6/29,2007/6/29,326061,731652,379714,358400,100000,221457,471015,30000,811020,148075,20642,24976,58816,9381,40793,7755,26278,21653,75569,5859,45561,,,212123,,70100,,,,,,80500,159517,,,,918078,,90000,,,,,,,,,520779,,,5965774
2007/7/6,2007/7/6,326061,731652,473548,358400,100000,221457,471015,30000,811020,148075,20642,24976,58816,9381,40793,7755,26278,21653,75569,5859,45561,,,212123,,70100,,,,,,80500,159517,,,,918078,,90000,,,,,,,,,520779,,,6059608
2007/7/13,2007/7/13,326061,731652,473548,358400,100000,221457,471015,30000,811020,148075,20642,24976,82343,9381,40793,7755,26278,21653,75569,5859,45561,,,212123,,70100,,,,,,80500,159517,,,,918078,,90000,,,,,,,,,520779,,,6083135
2007/7/20,2007/7/20,326061,731652,473548,358400,100000,221457,471015,30000,811020,148075,20642,24976,82343,9381,40793,7755,26278,21653,75569,5859,45561,,,212123,,70100,,,,,,80500,159517,,,,918078,,90000,,,,,,,,,520779,,,6083135
