,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA60,MA20
2018-03-30,-0.02483279419087424,2767.36,2780.84,2657.49,2722.15,19057319700.0,0.3928662307993774,-0.0004261565417823939,253596583853.0,156914462.31239998,2831.345999999996,2911.8140000000003,2655.823555000001,2916.5726799999993
2018-04-04,-0.007266315228771449,2717.12,2754.65,2683.05,2702.37,9005913900.0,0.4704756609526878,-0.000556134608501537,116877358587.0,156914462.56239998,2798.983999999996,2864.773,2661.8632316666676,2904.7512649999994
2018-04-13,0.008892194629158924,2706.33,2803.88,2688.83,2726.4,15122705700.0,0.5080411795375477,1.6219447687907553e-05,186198419013.0,157104521.56239998,2762.623999999996,2822.4490000000005,2667.833508333334,2894.2295699999995
2018-04-20,-0.028983274647887317,2716.58,2723.58,2623.97,2647.38,14960373500.0,0.5763776822818197,-0.000213690471306312,186250918152.0,157104521.56239998,2717.9539999999965,2806.1840000000007,2672.578031666667,2884.4893649999995
2018-04-27,0.0023268287892179644,2637.07,2737.21,2613.53,2653.54,14017621600.0,0.6193265158785899,-0.0002995118061630159,186347993024.0,157104521.56239998,2690.3679999999968,2784.359000000001,2676.972408333334,2873.8993299999993
2018-05-04,-0.002709587946667491,2662.08,2671.24,2626.54,2646.35,7364341500.0,0.6803790798690758,-8.299954410458068e-06,98677003421.0,157104521.8436,2675.207999999997,2753.2770000000005,2681.9591483333343,2865.2084999999997
2018-05-11,0.029614374515842534,2649.1,2738.65,2638.17,2724.72,12161535000.0,0.7128137955317703,0.00034652345530665913,167423431177.0,157104521.8436,2679.677999999997,2739.3310000000006,2688.3839166666676,2857.406
2018-05-18,0.005802431075486803,2736.98,2761.49,2690.99,2740.53,11107077600.0,0.7302490189871863,0.0005033851416521445,147052498341.0,157104561.4686,2682.503999999997,2722.5640000000003,2694.9434133333343,2851.4104999999995
2018-05-25,-0.028914115152908464,2753.88,2761.72,2650.34,2661.29,11620836500.0,0.7073339714710583,-0.00031472392907039005,139017322406.0,157106561.4686,2685.2859999999973,2701.6200000000003,2699.8715083333345,2837.8569999999995
2018-06-01,-0.0052981824603857185,2661.21,2682.78,2604.91,2647.19,11653208300.0,0.686813530721411,-0.0004594260229455711,159433845731.0,157191067.9373,2684.0159999999973,2687.192,2704.6621416666676,2819.2864999999997
2018-06-08,0.0018472417922400252,2664.84,2717.06,2637.36,2652.08,11482605300.0,0.5624599241077743,-4.737573082267078e-05,178172050303.0,157191453.9998,2685.1619999999975,2680.185,2709.0589516666673,2795.9995
2018-06-15,0.005995294259600046,2644.43,2691.97,2633.08,2667.98,10578053700.0,0.9228419566723683,0.00011670582676377605,175952049895.0,157191454.03100002,2673.8139999999976,2676.746,2714.2666116666674,2770.7595
